species,lambda0_ang,sigma_lambda0_ang,q_cm-1,sigma_q_cm-1,lambda0_source,join_flag,nist_wavelength_ang,lower_level,upper_level,Aki_s-1,fik,q_cm1,line_id,lambda0_unc_ang
Ni V,1313.306,0.002,2056,,Lee2025_2410.01849,OK,1313.306,3d5.(4G).4s 5G J=4,3d5.(4G).4p 5G* J=4,6600000000.0,0.19,2056,line_0104,0.002
Fe V,1313.5851,0.004,2507,,Hu2021_table,OK,1313.585,3d3.(4P).4s 3P J=0,3d3.(2D2).4p 3D* J=1,260000000.0,0.066,2507,line_0105,0.004
Fe V,1314.5256,0.004,2920,,Hu2021_table,OK,1314.529,3d3.(2G).4s 3G J=3,3d3.(2P).4p 3D* J=2,60000000.0,0.0022,2920,line_0106,0.004
Ni V,1315.668,0.002,3216,,Lee2025_2410.01849,OK,1315.668,3d5.(4D).4s 3D J=1,3d5.(4D).4p 3F* J=2,3220000000.0,0.278,3216,line_0107,0.002
Ni V,1317.445,0.002,3366,,Lee2025_2410.01849,OK,1317.444,3d5.(2I).4s 1I J=6,3d5.(2I).4p 1K* J=7,13600000000.0,0.272,3366,line_0108,0.002
Ni V,1318.151,0.002,2903,,Lee2025_2410.01849,OK,1318.152,3d5.(4P).4s 5P J=3,3d5.(4G).4p 5F* J=3,2530000000.0,0.0944,2903,line_0109,0.002
Ni V,1318.511,0.002,2643,,Lee2025_2410.01849,OK,1318.511,3d5.(6S).4s 5S J=2,3d5.(6S).4p 5P* J=3,6670000000.0,0.348,2643,line_0110,0.002
Ni V,1319.752,0.005,2949,,Lee2025_2410.01849,OK,1319.748,3d5.(2G2).4s 1G J=4,3d5.(4F).4p 3F* J=4,2770000000.0,0.0803,2949,line_0111,0.005
Fe V,1320.4116,0.004,2419,,Hu2021_table,OK,1320.41,3d3.(2H).4s 3H J=4,3d3.(2H).4p 3G* J=3,6400000000.0,0.19,2419,line_0112,0.004
Ni V,1320.715,0.002,2378,,Lee2025_2410.01849,OK,1320.715,3d5.(4D).4s 3D J=3,3d5.(4D).4p 3F* J=4,7340000000.0,0.274,2378,line_0113,0.002
Ni V,1320.901,0.005,2650,,Lee2025_2410.01849,OK,1320.899,3d5.(4P).4s 5P J=2,3d5.(4G).4p 5F* J=3,882000000.0,0.046,2650,line_0114,0.005
Ni V,1321.251,0.005,2976,,Lee2025_2410.01849,OK,1321.255,3d5.(4P).4s 5P J=3,3d5.(4P).4p 5D* J=2,1020000000.0,0.0381,2976,line_0115,0.005
Fe V,1321.3424,0.004,2588,,Hu2021_table,OK,1321.341,3d3.(2G).4s 3G J=4,3d3.(2H).4p 3H* J=5,2500000000.0,0.072,2588,line_0116,0.004
Fe V,1321.4905,0.004,2559,,Hu2021_table,OK,1321.49,3d3.(2G).4s 3G J=5,3d3.(2H).4p 3H* J=6,3600000000.0,0.085,2559,line_0117,0.004
Fe V,1321.8507,0.004,2296,,Hu2021_table,OK,1321.85,3d3.(2H).4s 3H J=4,3d3.(2H).4p 3G* J=4,710000000.0,0.021,2296,line_0118,0.004
Fe V,1323.0938,0.004,3435,,Hu2021_table,OK,1323.097,3d3.(2G).4s 3G J=4,3d3.(2H).4p 3H* J=4,36000000.0,0.00106,3435,line_0119,0.004
Fe V,1323.2693,0.004,2831,,Hu2021_table,OK,1323.269,3d3.(2H).4s 3H J=5,3d3.(2H).4p 3G* J=4,7600000000.0,0.18,2831,line_0120,0.004
Ni V,1325.094,0.008,2439,,Lee2025_2410.01849,OK,1325.094,3d5.(2F2).4s 1F J=3,3d5.(2F2).4p 1D* J=2,3680000000.0,0.138,2439,line_0121,0.008
Fe V,1325.7838,0.004,2978,,Hu2021_table,OK,1325.781,3d3.(2H).4s 3H J=5,3d3.(2H).4p 3G* J=5,820000000.0,0.02,2978,line_0122,0.004
Fe V,1327.1006,0.004,3006,,Hu2021_table,OK,1327.101,3d3.(2D2).4s 1D J=2,3d3.(2P).4p 1P* J=1,600000000.0,0.032,3006,line_0123,0.004
Fe V,1329.0215,0.004,2410,,Hu2021_table,OK,1329.025,3d3.(2H).4s 3H J=6,3d3.(2H).4p 1I* J=6,160000000.0,0.0033,2410,line_0124,0.004
Fe V,1331.186,0.007,3763,,Hu2021_table,OK,1331.185,3d3.(2D2).4s 3D J=1,3d3.(2D2).4p 3P* J=0,860000000.0,0.076,3763,line_0125,0.007
Fe V,1331.639,0.004,2311,,Hu2021_table,OK,1331.64,3d3.(2D2).4s 1D J=2,3d3.(2D2).4p 1D* J=2,3000000000.0,0.16,2311,line_0126,0.004
Fe V,1332.9697,0.004,1250,,Hu2021_table,OK,1332.968,3d3.(4P).4s 3P J=2,3d3.(2D2).4p 3D* J=1,25000000.0,0.0013,1250,line_0127,0.004
Ni V,1333.964,0.002,3464,,Lee2025_2410.01849,OK,1333.965,3d5.(2I).4s 1I J=6,3d5.(2I).4p 1H* J=5,5780000000.0,0.119,3464,line_0128,0.002
Fe V,1336.0377,0.004,3442,,Hu2021_table,OK,1336.039,3d3.(2G).4s 3G J=3,3d3.(2D2).4p 3P* J=2,65000000.0,0.0025,3442,line_0129,0.004
